location;ownership;price;real_estate;size;location_first;location_last;crawled
Grafrath, Fürstenfeldbruck (Kreis);Kauf;1145000;Haus;221,9;Grafrath;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Kauf;1495000;Haus;240;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Maisach, Fürstenfeldbruck (Kreis);Kauf;648000;Haus;120;Maisach;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Maisach, Fürstenfeldbruck (Kreis);Kauf;820000;Haus;155;Maisach;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Germering, Fürstenfeldbruck (Kreis);Kauf;2980000;Haus;256,79;Germering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Olching, Fürstenfeldbruck (Kreis);Kauf;895000;Haus;160;Olching;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Eichenau, Fürstenfeldbruck (Kreis);Kauf;590000;Haus;124,75;Eichenau;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Germering, Fürstenfeldbruck (Kreis);Kauf;1250000;Haus;168;Germering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Gröbenzell, Fürstenfeldbruck (Kreis);Kauf;1340000;Haus;180;Gröbenzell;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Puchheim, Fürstenfeldbruck (Kreis);Kauf;939000;Haus;119;Puchheim;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Germering, Fürstenfeldbruck (Kreis);Kauf;875000;Haus;170;Germering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Germering, Fürstenfeldbruck (Kreis);Kauf;549000;Haus;124;Germering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Gröbenzell, Fürstenfeldbruck (Kreis);Kauf;1847300;Haus;254,8;Gröbenzell;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Moorenweiser Straße 33, Türkenfeld, Fürstenfeldbruck (Kreis);Kauf;699000;Haus;143;Moorenweiser Straße 33;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Germering, Fürstenfeldbruck (Kreis);Kauf;850000;Haus;161,8;Germering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Germering, Fürstenfeldbruck (Kreis);Kauf;920000;Haus;151;Germering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Eichenau, Fürstenfeldbruck (Kreis);Kauf;874000;Haus;120;Eichenau;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Maisach, Fürstenfeldbruck (Kreis);Kauf;648000;Haus;120;Maisach;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Lärchenstraße 14, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Kauf;725000;Haus;118,91;Lärchenstraße 14;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Kauf;1200000;Haus;218;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Puchheim, Fürstenfeldbruck (Kreis);Kauf;995000;Haus;162,38;Puchheim;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
