price;size;location;real_estate;ownership;location_first;location_ladsst;crawled
996000;149,1;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
848000;273;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf;Althegnenberg;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1192416;372;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1290000;179;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
945000;95,5;Wiesenstraße 21, Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf;Wiesenstraße 21;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1023000;149,7;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
620000;92,19;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Puchheim;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
699000;150;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1299000;250;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf;Maisach;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
899500;122,00;Keltenweg 5, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Keltenweg 5;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
888600;120,00;Möslstraße 11, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Möslstraße 11;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
999000;342;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1298000;177;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
752800;554;Egenhofen, Fürstenfeldbruck (Kreis);Haus;Kauf;Egenhofen;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1779000;241;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
765000;135;Edelweißstr. 167, Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Edelweißstr. 167;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1389000;187;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1199000;160;Bürgermeister-Müller-Strasse 24, Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Bürgermeister-Müller-Strasse 24;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
774500;140;Grafrath, Fürstenfeldbruck (Kreis);Haus;Kauf;Grafrath;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1100000;162;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
643000;384;Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf;Moorenweis;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
870000;100;Siedlerstr. 21, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Siedlerstr. 21;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1450000;367;Mammendorf, Fürstenfeldbruck (Kreis);Haus;Kauf;Mammendorf;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
759000;132,02;Emmering, Fürstenfeldbruck (Kreis);Haus;Kauf;Emmering;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
710000;108;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Puchheim;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1275000;529;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
975000;157;Wegacker 3, Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf;Wegacker 3;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
987630;512;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf;Eichenau;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
996000;149,10;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
749000;108,7;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
944000;162;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
750000;143;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
510000;85,3;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
765000;151;Lohengrinstraße 21, Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Lohengrinstraße 21;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
1192416;372;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 10:58:54
