crawled;location;location_first;location_last;ownership;price;real_estate;size
20181230_115439;Germering, Fürstenfeldbruck (Kreis);Germering;Fürstenfeldbruck (Kreis);Kauf;996000;Haus;149,1
20181230_115439;Althegnenberg, Fürstenfeldbruck (Kreis);Althegnenberg;Fürstenfeldbruck (Kreis);Kauf;848000;Haus;273
20181230_115439;Gröbenzell, Fürstenfeldbruck (Kreis);Gröbenzell;Fürstenfeldbruck (Kreis);Kauf;1192416;Haus;372
20181230_115439;Gröbenzell, Fürstenfeldbruck (Kreis);Gröbenzell;Fürstenfeldbruck (Kreis);Kauf;1290000;Haus;179
20181230_115439;Wiesenstraße 21, Eichenau, Fürstenfeldbruck (Kreis);Wiesenstraße 21;Fürstenfeldbruck (Kreis);Kauf;945000;Haus;95,5
20181230_115439;Germering, Fürstenfeldbruck (Kreis);Germering;Fürstenfeldbruck (Kreis);Kauf;1023000;Haus;149,7
20181230_115439;Puchheim, Fürstenfeldbruck (Kreis);Puchheim;Fürstenfeldbruck (Kreis);Kauf;620000;Haus;92,19
20181230_115439;Gröbenzell, Fürstenfeldbruck (Kreis);Gröbenzell;Fürstenfeldbruck (Kreis);Kauf;699000;Haus;150
20181230_115439;Maisach, Fürstenfeldbruck (Kreis);Maisach;Fürstenfeldbruck (Kreis);Kauf;1299000;Haus;250
20181230_115439;Keltenweg 5, Olching, Fürstenfeldbruck (Kreis);Keltenweg 5;Fürstenfeldbruck (Kreis);Kauf;899500;Haus;122,00
20181230_115439;Möslstraße 11, Olching, Fürstenfeldbruck (Kreis);Möslstraße 11;Fürstenfeldbruck (Kreis);Kauf;888600;Haus;120,00
20181230_115439;Olching, Fürstenfeldbruck (Kreis);Olching;Fürstenfeldbruck (Kreis);Kauf;999000;Haus;342
20181230_115439;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Fürstenfeldbruck;Fürstenfeldbruck (Kreis);Kauf;1298000;Haus;177
20181230_115439;Egenhofen, Fürstenfeldbruck (Kreis);Egenhofen;Fürstenfeldbruck (Kreis);Kauf;752800;Haus;554
20181230_115439;Germering, Fürstenfeldbruck (Kreis);Germering;Fürstenfeldbruck (Kreis);Kauf;1779000;Haus;241
20181230_115439;Edelweißstr. 167, Puchheim, Fürstenfeldbruck (Kreis);Edelweißstr. 167;Fürstenfeldbruck (Kreis);Kauf;765000;Haus;135
20181230_115439;Germering, Fürstenfeldbruck (Kreis);Germering;Fürstenfeldbruck (Kreis);Kauf;1389000;Haus;187
20181230_115439;Bürgermeister-Müller-Strasse 24, Puchheim, Fürstenfeldbruck (Kreis);Bürgermeister-Müller-Strasse 24;Fürstenfeldbruck (Kreis);Kauf;1199000;Haus;160
20181230_115439;Grafrath, Fürstenfeldbruck (Kreis);Grafrath;Fürstenfeldbruck (Kreis);Kauf;774500;Haus;140
20181230_115439;Gröbenzell, Fürstenfeldbruck (Kreis);Gröbenzell;Fürstenfeldbruck (Kreis);Kauf;1100000;Haus;162
20181230_115439;Moorenweis, Fürstenfeldbruck (Kreis);Moorenweis;Fürstenfeldbruck (Kreis);Kauf;643000;Haus;384
20181230_115439;Siedlerstr. 21, Olching, Fürstenfeldbruck (Kreis);Siedlerstr. 21;Fürstenfeldbruck (Kreis);Kauf;870000;Haus;100
20181230_115439;Mammendorf, Fürstenfeldbruck (Kreis);Mammendorf;Fürstenfeldbruck (Kreis);Kauf;1450000;Haus;367
20181230_115439;Emmering, Fürstenfeldbruck (Kreis);Emmering;Fürstenfeldbruck (Kreis);Kauf;759000;Haus;132,02
20181230_115439;Puchheim, Fürstenfeldbruck (Kreis);Puchheim;Fürstenfeldbruck (Kreis);Kauf;710000;Haus;108
20181230_115439;Olching, Fürstenfeldbruck (Kreis);Olching;Fürstenfeldbruck (Kreis);Kauf;1275000;Haus;529
20181230_115439;Wegacker 3, Maisach, Fürstenfeldbruck (Kreis);Wegacker 3;Fürstenfeldbruck (Kreis);Kauf;975000;Haus;157
20181230_115439;Eichenau, Fürstenfeldbruck (Kreis);Eichenau;Fürstenfeldbruck (Kreis);Kauf;987630;Haus;512
20181230_115439;Germering, Fürstenfeldbruck (Kreis);Germering;Fürstenfeldbruck (Kreis);Kauf;996000;Haus;149,10
20181230_115439;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Fürstenfeldbruck;Fürstenfeldbruck (Kreis);Kauf;749000;Haus;108,7
20181230_115439;Olching, Fürstenfeldbruck (Kreis);Olching;Fürstenfeldbruck (Kreis);Kauf;944000;Haus;162
20181230_115439;Olching, Fürstenfeldbruck (Kreis);Olching;Fürstenfeldbruck (Kreis);Kauf;750000;Haus;143
20181230_115439;Germering, Fürstenfeldbruck (Kreis);Germering;Fürstenfeldbruck (Kreis);Kauf;510000;Haus;85,3
