price;size;location;real_estate;ownership
996.000 €;149,1 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
848.000 €;273 m²;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf
1.192.416 €;372 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
1.290.000 €;179 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
945.000 €;95,5 m²;Wiesenstraße 21, Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf
1.023.000 €;149,7 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
620.000 €;92,19 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
699.000 €;150 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
1.299.000 €;250 m²;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
899.500 - 909.500 €;122,00 - 122,00 m²;Keltenweg 5, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
888.600 - 1.052.300 €;120,00 - 129,00 m²;Möslstraße 11, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
999.000 €;342 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
1.298.000 €;177 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
752.800 €;554 m²;Egenhofen, Fürstenfeldbruck (Kreis);Haus;Kauf
1.779.000 €;241 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
765.000 €;135 m²;Edelweißstr. 167, Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
1.389.000 €;187 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
1.199.000 €;160 m²;Bürgermeister-Müller-Strasse 24, Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
774.500 €;140 m²;Grafrath, Fürstenfeldbruck (Kreis);Haus;Kauf
1.100.000 €;162 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
643.000 €;384 m²;Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf
870.000 €;100 m²;Siedlerstr. 21, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
1.450.000 €;367 m²;Mammendorf, Fürstenfeldbruck (Kreis);Haus;Kauf
759.000 €;132,02 m²;Emmering, Fürstenfeldbruck (Kreis);Haus;Kauf
710.000 €;108 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
1.275.000 €;529 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
975.000 €;157 m²;Wegacker 3, Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
987.630 €;512 m²;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf
996.000 - 1.192.000 €;149,10 - 155,00 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
749.000 €;108,7 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
944.000 €;162 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
750.000 €;143 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
510.000 €;85,3 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
765.000 €;151 m²;Lohengrinstraße 21, Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
1.192.416 €;372 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
1.980.000 €;367 m²;Pucher Str. 32, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
980.000 €;220,56 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
698.000 €;133 m²;Mammendorf, Fürstenfeldbruck (Kreis);Haus;Kauf
849.900 €;168,8 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
475.000 €;107 m²;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf
695.000 €;105 m²;Türkenfeld, Fürstenfeldbruck (Kreis);Haus;Kauf
784.000 €;98,32 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
715.000 €;120 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
725.000 - 805.000 €;118,91 - 135,00 m²;Lärchenstraße 14, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
1.029.000 €;125 m²;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf
553.000 €;173 m²;Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf
480.000 €;125 m²;Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf
645.000 €;128 m²;Emmering, Fürstenfeldbruck (Kreis);Haus;Kauf
890.000 €;162 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
1.399.000 €;218 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
698.000 €;275 m²;Lerchenstr. 1, Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf
920.000 €;129 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
540.000 €;89,06 m²;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf
582.000 €;120 m²;Kreuzstraße XXX, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
850.000 €;191 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
1.850.000 €;200 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
